code,description
I21.4,Non-ST elevation myocardial infarction
I21.3,ST elevation myocardial infarction of unspecified site
I21.0,ST elevation myocardial infarction of anterior wall
I21.1,ST elevation myocardial infarction of inferior wall
I21.2,ST elevation myocardial infarction of other sites
I20.0,Unstable angina
I20.9,Angina pectoris, unspecified
I25.10,Atherosclerotic heart disease of native coronary artery without angina pectoris
I25.110,Atherosclerotic heart disease of native coronary artery with unstable angina pectoris
I25.119,Atherosclerotic heart disease of native coronary artery with unspecified angina pectoris
I10,Essential (primary) hypertension
I11.0,Hypertensive heart disease with heart failure
I11.9,Hypertensive heart disease without heart failure
I12.0,Hypertensive chronic kidney disease with stage 5 chronic kidney disease or end stage renal disease
I12.9,Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease
I13.0,Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease
I13.10,Hypertensive heart and chronic kidney disease without heart failure, with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease
I13.11,Hypertensive heart and chronic kidney disease without heart failure, with stage 5 chronic kidney disease, or end stage renal disease
I13.2,Hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney disease, or end stage renal disease
E11.9,Type 2 diabetes mellitus without complications
E11.21,Type 2 diabetes mellitus with diabetic nephropathy
E11.22,Type 2 diabetes mellitus with diabetic chronic kidney disease
E11.29,Type 2 diabetes mellitus with other diabetic kidney complication
E11.40,Type 2 diabetes mellitus with diabetic neuropathy, unspecified
E11.51,Type 2 diabetes mellitus with diabetic peripheral angiopathy without gangrene
E11.52,Type 2 diabetes mellitus with diabetic peripheral angiopathy with gangrene
E11.59,Type 2 diabetes mellitus with other circulatory complications
E11.65,Type 2 diabetes mellitus with hyperglycemia
E11.8,Type 2 diabetes mellitus with unspecified complications
E78.0,Pure hypercholesterolemia
E78.1,Pure hyperglyceridemia
E78.2,Mixed hyperlipidemia
E78.5,Hyperlipidemia, unspecified
N18.1,Chronic kidney disease, stage 1
N18.2,Chronic kidney disease, stage 2 (mild)
N18.3,Chronic kidney disease, stage 3 (moderate)
N18.4,Chronic kidney disease, stage 4 (severe)
N18.5,Chronic kidney disease, stage 5
N18.6,End stage renal disease
N18.9,Chronic kidney disease, unspecified
K21.0,Gastro-esophageal reflux disease with esophagitis
K21.9,Gastro-esophageal reflux disease without esophagitis
I50.1,Left ventricular failure, unspecified
I50.20,Unspecified systolic (congestive) heart failure
I50.21,Acute systolic (congestive) heart failure
I50.22,Chronic systolic (congestive) heart failure
I50.23,Acute on chronic systolic (congestive) heart failure
I50.30,Unspecified diastolic (congestive) heart failure
I50.31,Acute diastolic (congestive) heart failure
I50.32,Chronic diastolic (congestive) heart failure
I50.33,Acute on chronic diastolic (congestive) heart failure
I50.40,Unspecified combined systolic and diastolic (congestive) heart failure
I50.41,Acute combined systolic and diastolic (congestive) heart failure
I50.42,Chronic combined systolic and diastolic (congestive) heart failure
I50.43,Acute on chronic combined systolic and diastolic (congestive) heart failure
I50.9,Heart failure, unspecified
R06.00,Dyspnea, unspecified
R06.01,Orthopnea
R06.02,Shortness of breath
R06.09,Other forms of dyspnea
R07.9,Chest pain, unspecified
R07.1,Chest pain on breathing
R07.2,Precordial pain
R07.81,Pleurodynia
R07.82,Intercostal pain
R07.89,Other chest pain
J44.9,Chronic obstructive pulmonary disease, unspecified
J44.0,Chronic obstructive pulmonary disease with acute lower respiratory infection
J44.1,Chronic obstructive pulmonary disease with (acute) exacerbation
J45.909,Unspecified asthma, uncomplicated
J45.901,Unspecified asthma with (acute) exacerbation
J45.902,Unspecified asthma with status asthmaticus
Z95.1,Presence of aortocoronary bypass graft
Z95.5,Presence of coronary angioplasty implant and graft
Z79.01,Long term (current) use of anticoagulants
Z79.02,Long term (current) use of antithrombotics/antiplatelets
Z79.4,Long term (current) use of insulin
Z79.84,Long term (current) use of oral hypoglycemic drugs
Z79.899,Other long term (current) drug therapy 
